,Unnamed: 0,url,title,site,pagesize,lan_code,lan_full
48,48,https://en.wikipedia.org/wiki/Albedo,Albedo,en.wikipedia.org,70851.0,en,English
49,49,https://es.wikipedia.org/wiki/Albedo,Albedo,es.wikipedia.org,18907.0,es,Spanish
50,50,https://de.wikipedia.org/wiki/Albedo,Albedo,de.wikipedia.org,13005.0,de,German
51,51,https://fr.wikipedia.org/wiki/Alb%C3%A9do,Albédo,fr.wikipedia.org,33642.0,fr,French
52,52,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%AB%E3%83%99%E3%83%89,アルベド,ja.wikipedia.org,14968.0,ja,Japanese
53,53,https://it.wikipedia.org/wiki/Albedo,Albedo,it.wikipedia.org,11231.0,it,Italian
54,54,https://pt.wikipedia.org/wiki/Albedo,Albedo,pt.wikipedia.org,35942.0,pt,Portuguese
55,55,https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D0%B4%D0%BE,Альбедо,ru.wikipedia.org,18971.0,ru,Russian
56,56,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B6%E0%A4%BE%E0%A4%A8%E0%A5%81%E0%A4%AA%E0%A4%BE%E0%A4%A4,प्रकाशानुपात,hi.wikipedia.org,3344.0,hi,Hindi
57,57,https://pl.wikipedia.org/wiki/Albedo,Albedo,pl.wikipedia.org,6516.0,pl,Polish
58,58,https://zh.wikipedia.org/wiki/%E5%8F%8D%E7%85%A7%E7%8E%87,反照率,zh.wikipedia.org,33200.0,zh,Chinese
59,59,https://id.wikipedia.org/wiki/Albedo,Albedo,id.wikipedia.org,3102.0,id,Indonesian
60,60,https://ko.wikipedia.org/wiki/%EB%B0%98%EC%82%AC%EC%9C%A8,반사율,ko.wikipedia.org,8458.0,ko,Korean
61,61,https://ar.wikipedia.org/wiki/%D8%B9%D8%A7%D9%83%D8%B3%D9%8A%D8%A9,عاكسية,ar.wikipedia.org,17873.0,ar,Arabic
62,62,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D0%B4%D0%BE,Альбедо,uk.wikipedia.org,17701.0,uk,Ukrainian
63,63,https://th.wikipedia.org/wiki/%E0%B8%AD%E0%B8%B1%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%AA%E0%B9%88%E0%B8%A7%E0%B8%99%E0%B8%AA%E0%B8%B0%E0%B8%97%E0%B9%89%E0%B8%AD%E0%B8%99,อัตราส่วนสะท้อน,th.wikipedia.org,4418.0,th,Thai
64,64,https://sv.wikipedia.org/wiki/Albedo,Albedo,sv.wikipedia.org,4582.0,sv,Swedish
65,65,https://ro.wikipedia.org/wiki/Albedo,Albedo,ro.wikipedia.org,9087.0,ro,Romanian
66,66,https://el.wikipedia.org/wiki/%CE%9B%CE%B5%CF%85%CE%BA%CE%B1%CF%8D%CE%B3%CE%B5%CE%B9%CE%B1,Λευκαύγεια,el.wikipedia.org,6352.0,el,Greek
67,67,https://hu.wikipedia.org/wiki/Albed%C3%B3,Albedó,hu.wikipedia.org,2425.0,hu,Hungarian
68,68,https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%91%D7%93%D7%95,אלבדו,he.wikipedia.org,10105.0,he,Hebrew
69,69,https://nl.wikipedia.org/wiki/Albedo,Albedo,nl.wikipedia.org,3829.0,nl,Dutch
70,70,https://fi.wikipedia.org/wiki/Albedo,Albedo,fi.wikipedia.org,5161.0,fi,Finnish
71,71,https://no.wikipedia.org/wiki/Albedo,Albedo,no.wikipedia.org,7641.0,no,Norwegian
72,72,https://en.wikipedia.org/wiki/Environmental%20defender,Environmental defender,en.wikipedia.org,24775.0,en,English
73,73,https://es.wikipedia.org/wiki/Defensor%20ambiental,Defensor ambiental,es.wikipedia.org,9139.0,es,Spanish
74,74,https://pt.wikipedia.org/wiki/Defensor%20do%20meio%20ambiente,Defensor do meio ambiente,pt.wikipedia.org,8874.0,pt,Portuguese
75,75,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D1%85%D0%B8%D1%81%D0%BD%D0%B8%D0%BA%20%D0%B4%D0%BE%D0%B2%D0%BA%D1%96%D0%BB%D0%BB%D1%8F,Захисник довкілля,uk.wikipedia.org,39030.0,uk,Ukrainian
76,76,https://en.wikipedia.org/wiki/Dominika%20Lasota,Dominika Lasota,en.wikipedia.org,27315.0,en,English
77,77,https://es.wikipedia.org/wiki/Dominika%20Lasota,Dominika Lasota,es.wikipedia.org,18138.0,es,Spanish
78,78,https://fr.wikipedia.org/wiki/Dominika%20Lasota,Dominika Lasota,fr.wikipedia.org,12542.0,fr,French
79,79,https://id.wikipedia.org/wiki/Dominika%20Lasota,Dominika Lasota,id.wikipedia.org,3372.0,id,Indonesian
80,80,https://uk.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D1%96%D0%BD%D1%96%D0%BA%D0%B0%20%D0%9B%D1%8F%D1%81%D0%BE%D1%82%D0%B0,Домініка Лясота,uk.wikipedia.org,30436.0,uk,Ukrainian
81,81,https://el.wikipedia.org/wiki/%CE%9D%CF%84%CE%BF%CE%BC%CE%AF%CE%BD%CE%B9%CE%BA%CE%B1%20%CE%9B%CE%B1%CF%83%CF%8C%CF%84%CE%B1,Ντομίνικα Λασότα,el.wikipedia.org,7205.0,el,Greek
82,82,https://nl.wikipedia.org/wiki/Dominika%20Lasota,Dominika Lasota,nl.wikipedia.org,6349.0,nl,Dutch
83,83,https://en.wikipedia.org/wiki/Tipping%20points%20in%20the%20climate%20system,Tipping points in the climate system,en.wikipedia.org,132488.0,en,English
84,84,https://es.wikipedia.org/wiki/Punto%20de%20inflexi%C3%B3n%20%28climatolog%C3%ADa%29,Punto de inflexión (climatología),es.wikipedia.org,15561.0,es,Spanish
85,85,https://de.wikipedia.org/wiki/Kippelemente%20im%20Erdklimasystem,Kippelemente im Erdklimasystem,de.wikipedia.org,57749.0,de,German
86,86,https://fr.wikipedia.org/wiki/Points%20de%20basculement%20dans%20le%20syst%C3%A8me%20climatique,Points de basculement dans le système climatique,fr.wikipedia.org,42338.0,fr,French
87,87,https://ja.wikipedia.org/wiki/%E6%B0%97%E5%80%99%E8%BB%A2%E6%8F%9B%E7%82%B9,気候転換点,ja.wikipedia.org,152419.0,ja,Japanese
88,88,https://pt.wikipedia.org/wiki/Aquecimento%20global%20descontrolado,Aquecimento global descontrolado,pt.wikipedia.org,48649.0,pt,Portuguese
89,89,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B8%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D1%84%D0%B0%D0%BA%D1%82%D0%BE%D1%80%D1%8B%20%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BA%D0%BB%D0%B8%D0%BC%D0%B0%D1%82%D0%B0,Критические факторы изменения климата,ru.wikipedia.org,8320.0,ru,Russian
